timestamp,category,check,status,value,threshold,message
2026-08-12T17:51:02.596201+00:00,RELEASE,release_manifest_exists,PASS,EXISTS,EXISTS,
2026-08-12T17:51:02.602504+00:00,RELEASE,release_manifest_readable,PASS,READABLE,READABLE,
2026-08-12T17:51:02.602504+00:00,RELEASE,stage20_release_ready,PASS,READY,READY,Stage 20 release manifest contains READY.
2026-08-12T17:51:02.602504+00:00,ARTIFACT,release_report,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_release_report.csv
2026-08-12T17:51:02.602504+00:00,ARTIFACT,release_metrics,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_release_metrics.json
2026-08-12T17:51:02.602504+00:00,ARTIFACT,release_manifest,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_release_manifest.json
2026-08-12T17:51:02.602504+00:00,ARTIFACT,portfolio,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_portfolio.csv
2026-08-12T17:51:02.602504+00:00,ARTIFACT,portfolio_metrics,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_portfolio_metrics.json
2026-08-12T17:51:02.602504+00:00,ARTIFACT,portfolio_validation,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_portfolio_validation.csv
2026-08-12T17:51:02.606498+00:00,ARTIFACT,portfolio_validation_metrics,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_portfolio_validation_metrics.json
2026-08-12T17:51:02.606498+00:00,ARTIFACT,optimized_trades,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_optimized_trades.csv
2026-08-12T17:51:02.606498+00:00,ARTIFACT,optimization_metrics,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_optimization_metrics.json
2026-08-12T17:51:02.606498+00:00,ARTIFACT,risk_validation,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_risk_validation.csv
2026-08-12T17:51:02.606498+00:00,ARTIFACT,risk_metrics,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_risk_metrics.json
2026-08-12T17:51:02.607513+00:00,ARTIFACT,walk_forward_results,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_walk_forward_results.csv
2026-08-12T17:51:02.607513+00:00,ARTIFACT,walk_forward_metrics,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_walk_forward_metrics.json
2026-08-12T17:51:02.607841+00:00,ARTIFACT,predictions,PASS,EXISTS,EXISTS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage20\stage20_predictions.csv
